#  
#   VizieR Astronomical Server: vizier.u-strasbg.fr 	2003-08-05T12:27:17
#   Explanations and Statistics of UCDs:			See LINK below
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#    (link)
#   
#Coosys	J2000:	eq_FK5 2000 
#INFO	Ref=Vxml771

#RESOURCE=8004   
#Name: VIII/4   
#Title:	Fourth Cambridge Survey (4C) (Pilkington+ 1965; Gower+ 1967)   
#Table	VIII_4_radio4c:      
#Name: VIII/4/radio4c     
#Title:	Fourth Cambridge Radio Survey Data          
#Coosys	B1950:	eq_FK4 1950           
#Column	_RAJ2000	(A10)	       Right ascension (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)          
#Column	_DEJ2000	(A8)	       Declination (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)          
#Column	4C	(A8)	       The 4C number        (link)          
#Column	FluxDen	(F7)	       Flux density (1.0E-26 W/m2/Hz) at 178 MHz          
#Column	ErrClas1	(I2)	       Position and flux error class (in number)          
#Column	GLON	(F5)	       Galactic longitude, System II.          
#Column	GLAT	(F5)	       Galactic latitude, System II.          
#Column	ErrClas2	(A3)	       Position & flux error class (character form)          
#Column	com	(A8)	       Remarks          
#Column	recno	(I8)	       Record number within the original table (starting from 1)        (link)     

_RAJ2000	_DEJ2000	4C	FluxDen	ErrClas1	GLON	GLAT	ErrClas2	com	recno
14 57 54.6	+28 31.5	+28.38  	    3.5	 1	 43.2	 62.1	a  	        	    2652
15 23 27.5	+28 34.5	+28.39  	    2.5	 1	 44.4	 56.5	a  	        	    2653
16 08 12.8	+28 50.3	+28.40  	    3.5	 1	 47.2	 46.8	a  	        	    2654
16 16 46.3	+28 08.5	+28.41  	    2.9	 1	 46.7	 44.9	a  	        	    2655
17 00 41.7	+28 30.1	+28.42  	    2.5	 1	 50.0	 35.5	a  	        	    2656
17 13 26.9	+28 12.1	+28.43  	    3.2	 1	 50.5	 32.7	a  	        	    2657
17 26 29.1	+28 45.7	+28.44  	    2.4	 1	 52.1	 30.1	a  	        	    2658
18 32 50.6	+28 35.3	+28.45  	    6.1	 1	 57.1	 16.4	a  	        	    2659
18 38 54.4	+28 12.7	+28.46  	    2.2	 1	 57.3	 15.0	a  	        	    2660
19 06 20.3	+28 09.1	+28.47  	    3.1	 1	 59.8	  9.4	a  	        	    2661
20 37 41.0	+28 46.4	+28.48  	    2.1	 1	 70.7	 -7.4	a  	        	    2662
20 54 56.6	+28 44.8	+28.49  	    2.1	 1	 73.0	-10.4	a  	        	    2663
21 01 57.2	+28 34.0	+28.50  	    6.7	 1	 73.9	-11.7	a  	        	    2664
21 09 22.4	+29 04.8	+28.51  	    5.5	 1	 75.3	-12.6	a  	        	    2665
21 49 56.9	+29 12.3	+28.52  	    2.5	 1	 81.9	-18.9	a  	        	    2666
22 15 36.7	+29 01.3	+28.53  	    2.2	 1	 86.4	-22.6	a  	        	    2667
22 22 17.0	+28 35.5	+28.54  	    2.4	 1	 87.4	-23.8	a  	        	    2668
23 12 17.0	+28 58.5	+28.55  	    2.0	 1	 98.1	-29.1	a  	        	    2669
23 19 52.7	+28 28.3	+28.56  	    2.9	 2	 99.6	-30.2	b  	        	    2670
23 51 57.5	+28 19.8	+28.57  	    2.5	 2	107.4	-32.7	b  	        	    2671
23 52 00.1	+29 10.6	+28.58  	    2.9	 1	107.6	-31.9	a  	        	    2672
23 55 54.5	+28 35.4	+28.59  	    2.6	 1	108.4	-32.7	a  	        	    2673
00 53 43.7	+29 24.9	+29.01  	    2.9	 1	123.5	-33.5	a  	        	    2674
01 13 25.5	+29 59.1	+29.02  	    2.7	 1	128.6	-32.6	a  	        	    2675
01 36 55.0	+30 14.8	+29.03  	    6.2	 1	134.5	-31.6	a  	        	    2676
01 55 57.8	+30 03.4	+29.04  	    3.1	 1	139.2	-30.8	a  	        	    2677
02 01 37.0	+29 32.9	+29.05  	    4.8	 2	140.7	-30.9	b  	        	    2678
02 07 05.3	+29 33.4	+29.06  	    5.3	 2	142.0	-30.5	b  	        	    2679
02 29 48.8	+29 39.5	+29.07  	    2.0	21	147.2	-28.5	be 	        	    2680
02 44 41.7	+29 23.3	+29.08  	    4.3	 1	150.7	-27.3	a  	        	    2681
02 48 43.0	+29 57.3	+29.09  	    2.6	 1	151.2	-26.4	a  	        	    2682
03 28 38.7	+29 23.9	+29.10  	    3.1	 1	159.5	-22.1	a  	        	    2683
04 05 16.2	+29 56.3	+29.11  	    2.7	 1	165.5	-16.5	a  	        	    2684
04 08 25.1	+29 40.2	+29.12  	    3.1	 1	166.2	-16.2	a  	        	    2685
04 25 25.5	+29 47.6	+29.13  	    2.2	22	168.8	-13.5	bl 	        	    2686
04 37 04.3	+29 40.4	+29.14  	  189.0	 1	170.6	-11.7	a  	3C123*  	    2687
05 08 28.1	+29 16.5	+29.15  	    2.6	 2	175.2	 -6.6	b  	        	    2688
05 09 30.7	+30 00.0	+29.16  	    6.3	 2	174.7	 -5.9	b  	        	    2689
05 10 41.2	+29 09.3	+29.17  	    8.3	 1	175.6	 -6.2	a  	        	    2690
05 21 53.4	+29 03.4	+29.18  	    4.3	11	177.1	 -4.3	ae 	        	    2691
05 42 13.8	+29 03.0	+29.19  	    2.8	 1	179.5	 -0.6	a  	        	    2692
06 01 58.5	+29 09.0	+29.20  	    2.1	21	181.6	  3.2	be 	        	    2693
06 10 45.5	+29 46.5	+29.21  	    2.0	 1	182.0	  5.2	a  	        	    2694
06 12 46.4	+29 00.9	+29.22  	    2.9	 2	182.9	  5.2	b  	        	    2695
06 40 04.5	+29 39.4	+29.23  	    2.5	 2	185.0	 10.8	b  	        	    2696
06 45 11.1	+29 30.0	+29.24  	    6.0	 1	185.6	 11.7	a  	        	    2697
07 36 10.3	+29 00.5	+29.25  	    4.4	 1	190.5	 21.8	a  	        	    2698
07 52 49.0	+29 45.5	+29.26  	    2.9	 1	191.0	 25.5	a  	        	    2699
07 54 59.6	+29 42.5	+29.27  	    2.4	 1	191.2	 26.0	a  	        	    2700
08 17 07.8	+29 11.9	+29.28  	    3.2	22	193.4	 30.4	bl 	        	    2701
08 27 25.8	+29 19.0	+29.29  	    9.1	 2	193.9	 32.6	b  	3C200   	    2702
08 40 02.1	+29 48.4	+29.30  	    2.0	 1	194.2	 35.4	a  	        	    2703
08 43 10.6	+29 44.8	+29.31  	    4.7	 1	194.5	 36.0	a  	        	    2704
08 56 01.8	+29 02.1	+29.32  	    4.3	 1	196.1	 38.6	a  	        	    2705
09 01 06.2	+29 02.2	+29.33  	    6.6	 1	196.5	 39.7	a  	3C213.1 	    2706
09 01 14.4	+29 43.3	+29.34  	    2.4	21	195.6	 39.9	be 	*       	    2707
10 01 49.2	+28 46.4	+29.35  	   26.1	 1	200.2	 52.7	a  	3C234   	    2708
10 06 46.4	+28 50.7	+29.36  	    2.5	 2	200.3	 53.8	b  	        	    2709
10 14 19.9	+29 04.5	+29.37  	    3.6	 1	200.3	 55.5	a  	        	    2710
10 18 25.4	+29 17.5	+29.38  	    2.0	 1	200.1	 56.4	a  	        	    2711
10 47 26.2	+29 31.2	+29.39  	    2.5	 2	200.5	 62.7	b  	        	    2712
10 54 39.5	+28 44.1	+29.40  	    2.5	 3	202.5	 64.2	c  	        	    2713
11 16 35.0	+29 15.6	+29.41  	    5.5	 2	201.5	 69.0	b  	        	    2714
11 29 22.5	+29 03.4	+29.42  	    2.4	 2	202.0	 71.8	b  	        	    2715
11 46 23.2	+29 02.9	+29.43  	    2.8	 1	201.5	 75.5	a  	        	    2716
11 54 12.9	+29 16.5	+29.44  	    6.7	 2	199.9	 77.2	b  	        	    2717
11 59 31.7	+29 16.7	+29.45  	    2.8	 1	199.3	 78.4	a  	        	    2718
12 04 53.9	+29 29.1	+29.46  	    6.0	 1	197.3	 79.5	a  	        	    2719
13 19 04.8	+29 38.9	+29.47  	    3.2	 1	 57.1	 83.4	a  	        	    2720
13 23 02.8	+29 43.4	+29.48  	    4.0	 1	 55.3	 82.6	a  	        	    2721
13 48 48.3	+29 39.8	+29.49  	    3.4	 1	 47.7	 77.1	a  	        	    2722
17 04 07.5	+29 46.2	+29.50  	    6.6	 1	 51.7	 35.1	a  	        	    2723
17 13 33.3	+29 51.8	+29.51  	    2.7	 1	 52.4	 33.1	a  	        	    2724
17 42 01.5	+29 32.3	+29.52  	    2.9	12	 54.0	 27.1	al 	        	    2725
17 51 46.0	+29 49.0	+29.53  	    5.1	 1	 55.0	 25.2	a  	        	    2726
18 01 05.5	+29 59.1	+29.54  	    2.3	13	 55.9	 23.3	a* 	        	    2727
18 22 48.1	+29 32.3	+29.55  	    3.5	 1	 57.2	 18.7	a  	        	    2728
18 31 15.8	+29 04.3	+29.56  	    5.3	 2	 57.5	 16.9	b  	        	    2729
18 45 51.5	+29 44.6	+29.57  	    2.3	22	 59.4	 14.2	bl*	        	    2730
19 35 01.7	+30 04.6	+29.58  	    3.9	22	 64.4	  4.8	bl*	        	    2731
20 17 13.1	+29 41.9	+29.59  	    2.4	 2	 68.9	 -3.3	b  	*       	    2732
20 20 06.1	+29 42.1	+29.60  	   33.2	 1	 69.2	 -3.8	a  	3C410   	    2733
20 26 59.7	+29 50.5	+29.61  	    3.7	 1	 70.2	 -4.9	a  	        	    2734
20 35 36.8	+29 22.5	+29.62  	    2.2	 2	 70.9	 -6.7	b  	        	    2735
21 23 11.7	+30 11.0	+29.63  	    7.8	13	 78.3	-14.1	a* 	*       	    2736
21 58 42.4	+30 00.4	+29.64  	    5.1	 1	 84.0	-19.5	a  	        	    2737
22 06 06.1	+29 28.9	+29.65  	   12.6	 1	 84.9	-20.9	a  	3C441   	    2738
23 17 53.3	+29 46.1	+29.66  	    2.1	 1	 99.8	-28.9	a  	        	    2739
23 21 43.5	+29 54.9	+29.67  	    3.7	 1	100.7	-29.1	a  	        	    2740
23 28 11.1	+29 36.5	+29.68  	    6.7	 2	102.1	-29.9	b  	        	    2741
23 32 00.5	+29 56.3	+29.69  	    6.9	 1	103.1	-29.9	a  	        	    2742
23 45 04.6	+29 45.5	+29.70  	    2.9	 1	106.1	-30.9	a  	        	    2743
00 47 07.4	+30 28.5	+30.01  	    3.4	 2	121.8	-32.4	b  	        	    2744
00 53 50.1	+31 15.8	+30.02  	    3.1	 2	123.5	-31.6	b  	        	    2745
02 37 02.1	+30 24.3	+30.03  	    3.1	 1	148.5	-27.2	a  	        	    2746
03 11 36.0	+30 44.7	+30.04  	    4.2	 1	155.4	-23.2	a  	        	    2747
03 49 24.7	+30 14.9	+30.05  	    3.0	 1	162.6	-18.6	a  	        	    2748
04 07 04.6	+30 55.3	+30.06  	    2.5	 1	165.1	-15.5	a  	        	    2749
04 26 31.6	+30 47.7	+30.07  	    3.1	 1	168.2	-12.6	a  	        	    2750
05 50 15.4	+30 42.2	+30.08  	    2.0	31	179.0	  1.8	ce*	        	    2751
05 56 24.1	+30 01.2	+30.09  	    4.0	 1	180.3	  2.6	a  	        	    2752
06 06 05.8	+30 02.3	+30.10  	    2.2	13	181.3	  4.4	a* 	        	    2753
06 37 43.7	+30 27.9	+30.11  	    3.7	23	184.0	 10.7	b* 	        	    2754
06 57 15.9	+30 15.2	+30.12  	    2.3	13	186.0	 14.4	a* 	        	    2755
08 04 42.4	+30 12.8	+30.13  	    4.7	 1	191.4	 28.1	a  	        	    2756
08 08 19.6	+30 46.8	+30.14  	    2.1	 1	191.0	 29.0	a  	        	    2757
08 20 32.9	+30 35.0	+30.15  	    2.5	 1	192.0	 31.5	a  	        	    2758
08 54 33.2	+30 10.2	+30.16  	    2.1	 1	194.6	 38.5	a  	        	    2759
09 06 31.8	+30 11.0	+30.17  	    2.4	 1	195.3	 41.1	a  	        	    2760
10 31 23.0	+29 47.9	+30.18  	    2.0	13	199.6	 59.2	a* 	        	    2761
10 40 30.7	+29 56.7	+30.19  	    2.0	 1	199.5	 61.2	a  	        	    2762
11 00 05.0	+30 27.9	+30.20  	    6.1	 2	198.5	 65.4	b  	        	    2763
11 26 08.9	+30 02.2	+30.21  	    4.9	 2	199.1	 71.1	b  	        	    2764
11 34 54.5	+30 05.4	+30.22  	    6.5	13	198.4	 73.0	a* 	        	    2765
11 44 21.8	+30 00.2	+30.23  	    3.6	 1	197.9	 75.0	a  	        	    2766
12 03 42.1	+30 37.2	+30.24  	    2.4	 1	191.6	 79.0	a  	        	    2767
12 50 25.5	+30 18.5	+30.25  	    2.6	 1	126.9	 86.8	a  	        	    2768
13 31 08.5	+30 30.3	+30.26  	   24.0	 1	 56.5	 80.7	a  	3C286   	    2769
14 25 00.2	+30 28.2	+30.27  	    2.6	 1	 47.8	 69.3	a  	        	    2770
15 08 18.9	+30 10.2	+30.28  	    2.0	23	 46.9	 59.9	b* 	        	    2771
15 49 14.1	+30 47.8	+30.29  	    6.8	 1	 49.2	 51.2	a  	        	    2772
16 42 41.8	+29 54.5	+30.30  	    3.9	 1	 50.6	 39.7	a  	        	    2773
17 00 13.5	+30 02.2	+30.31  	    2.8	 1	 51.8	 36.0	a  	        	    2774
18 10 15.2	+30 44.8	+30.32  	    3.5	13	 57.4	 21.7	a* 	        	    2775
18 47 51.1	+30 06.7	+30.33  	    2.3	13	 59.9	 13.9	a* 	        	    2776
19 01 57.5	+30 05.4	+30.34  	    4.0	 1	 61.2	 11.1	a  	        	    2777
19 15 56.9	+30 18.8	+30.35  	   10.7	 1	 62.7	  8.5	a  	3C399.1 	    2778
19 21 04.0	+30 47.7	+30.36  	    2.3	 1	 63.7	  7.8	a  	        	    2779
19 23 25.7	+30 41.3	+30.37  	    3.1	 1	 63.8	  7.3	a  	        	    2780
20 06 07.0	+30 56.1	+30.38  	    3.8	13	 68.6	 -0.6	a* 	        	    2781
20 37 57.1	+31 01.6	+30.39  	    2.7	 2	 72.5	 -6.1	b  	        	    2782
20 47 08.0	+30 54.2	+30.40  	    2.0	 1	 73.6	 -7.8	a  	        	    2783
20 57 07.0	+31 06.1	+30.41  	    2.3	 1	 75.2	 -9.3	a  	        	    2784
21 13 47.3	+30 23.8	+30.42  	    5.8	 1	 77.0	-12.5	a  	        	    2785
21 31 32.0	+30 37.8	+30.43  	    2.7	23	 79.9	-15.1	b* 	        	    2786
23 33 04.1	+30 52.6	+30.44  	    2.1	 2	103.7	-29.1	b  	        	    2787
23 51 03.7	+30 22.6	+30.45  	    3.2	 1	107.8	-30.7	a  	        	    2788
00 05 56.7	+31 37.8	+31.01  	    2.3	23	111.7	-30.2	b* 	        	    2789
01 10 19.5	+31 47.2	+31.02  	   11.2	 1	127.6	-30.9	a  	3C34    	    2790
01 12 51.4	+32 08.8	+31.03  	    2.0	 1	128.2	-30.5	a  	        	    2791
01 19 35.1	+32 11.5	+31.04  	    2.4	 1	129.8	-30.3	a  	        	    2792
01 38 06.7	+31 43.7	+31.05  	    2.4	 2	134.4	-30.1	b  	        	    2793
01 57 17.8	+32 01.4	+31.06  	    4.1	 2	138.8	-28.8	b  	        	    2794
02 00 57.2	+31 38.5	+31.07  	    2.4	 2	139.8	-28.9	b  	        	    2795
02 34 24.4	+31 34.7	+31.08  	   10.0	 1	147.3	-26.4	a  	3C68.2  	    2796
03 05 25.4	+31 27.8	+31.09  	    2.4	11	153.8	-23.3	ae 	        	    2797
03 16 21.5	+32 06.0	+31.10  	    2.9	 2	155.5	-21.5	b  	        	    2798
03 16 22.3	+31 26.2	+31.11  	    2.9	 2	155.9	-22.0	b  	        	    2799
03 25 11.7	+31 30.4	+31.12  	    2.6	 1	157.5	-20.9	a  	        	    2800
03 40 08.9	+32 08.5	+31.13  	    8.3	 1	159.7	-18.4	a  	        	    2801
03 43 10.3	+31 15.4	+31.14  	    3.3	 1	160.9	-18.7	a  	        	    2802
04 11 38.0	+31 08.6	+31.15  	    4.5	 2	165.6	-14.7	b  	*       	    2803
04 16 45.8	+31 08.6	+31.16  	    2.5	 1	166.4	-13.9	a  	        	    2804
04 40 51.3	+31 24.6	+31.17  	    2.5	 2	169.8	 -9.9	b  	        	    2805
04 53 24.2	+31 29.6	+31.18  	   14.8	13	171.4	 -7.8	a* 	3C131   	    2806
05 05 11.0	+31 17.4	+31.19  	    3.6	 1	173.1	 -5.9	a  	        	    2807
05 14 08.9	+31 09.6	+31.20  	    2.3	 1	174.4	 -4.5	a  	        	    2808
05 53 22.7	+31 19.8	+31.21  	    4.2	 1	178.8	  2.7	a  	        	    2809
06 02 04.0	+31 47.4	+31.22  	    2.3	 1	179.3	  4.5	a  	        	    2810
06 23 42.6	+31 36.8	+31.23  	    2.9	23	181.7	  8.5	b* 	        	    2811
06 41 15.8	+31 53.3	+31.24  	    2.3	 2	183.1	 12.0	b  	        	    2812
06 44 59.6	+31 49.3	+31.25  	    2.6	 2	183.5	 12.7	b  	        	    2813
06 53 49.7	+31 48.7	+31.26  	    2.1	 2	184.2	 14.4	b  	        	    2814
07 24 30.4	+31 32.1	+31.27  	    4.8	 1	187.0	 20.3	a  	        	    2815
07 27 25.5	+31 07.1	+31.28  	    2.3	 1	187.7	 20.8	a  	        	    2816
07 34 12.7	+31 38.3	+31.29  	    2.3	 1	187.7	 22.3	a  	        	    2817
07 45 42.7	+31 43.2	+31.30  	    4.4	23	188.4	 24.7	b* 	        	    2818
07 50 12.7	+31 19.9	+31.31  	    2.7	 1	189.2	 25.5	a  	        	    2819
08 48 00.7	+31 44.8	+31.32  	    5.7	 2	192.3	 37.5	b  	        	    2820
09 22 10.2	+31 10.4	+31.33  	    6.0	 1	194.8	 44.5	a  	        	    2821
09 30 31.4	+31 12.5	+31.34  	    3.3	 1	195.1	 46.3	a  	        	    2822
10 20 40.0	+31 35.3	+31.35  	    5.4	 2	196.0	 57.0	b  	        	    2823
11 08 42.7	+31 10.4	+31.36  	    2.1	 2	196.5	 67.3	b  	        	    2824
11 45 29.6	+31 33.7	+31.37  	   18.3	 1	191.8	 75.0	a  	3C265   	    2825
11 56 19.0	+31 28.5	+31.38  	    7.5	 1	189.8	 77.2	a  	        	    2826
12 00 59.6	+31 31.7	+31.39  	    6.9	 1	188.1	 78.2	a  	3C268.2 	    2827
12 21 54.0	+31 29.2	+31.40  	    5.1	 1	177.1	 82.2	a  	        	    2828
12 29 06.9	+31 35.7	+31.41  	    2.2	 2	169.0	 83.4	b  	        	    2829
13 28 23.3	+30 46.6	+31.42  	    4.1	23	 59.4	 81.1	b* 	        	    2830
13 52 18.1	+31 26.1	+31.43  	   12.7	 1	 54.5	 76.1	a  	3C293   	    2831
14 10 03.0	+31 25.8	+31.44  	    4.3	 1	 51.7	 72.4	a  	        	    2832
14 22 03.6	+31 18.2	+31.45  	    2.2	11	 50.3	 69.8	ae 	        	    2833
14 35 15.2	+31 41.4	+31.46  	    4.5	 2	 50.6	 67.0	b  	        	    2834
17 28 20.1	+31 46.4	+31.47  	    8.2	 2	 55.5	 30.6	b  	3C357   	    2835
17 38 55.7	+31 27.2	+31.48  	    2.7	 1	 55.9	 28.3	a  	        	    2836
17 41 01.2	+31 04.8	+31.49  	    3.3	 1	 55.6	 27.8	a  	        	    2837
18 31 41.6	+31 09.2	+31.50  	    2.3	23	 59.5	 17.5	b* 	        	    2838
18 34 19.1	+31 37.4	+31.51  	    6.1	 2	 60.2	 17.2	b  	        	    2839
19 02 56.8	+31 59.3	+31.52  	    6.5	 1	 63.0	 11.8	a  	        	    2840
19 21 47.1	+31 45.1	+31.53  	    2.1	 1	 64.6	  8.1	a  	        	    2841
19 50 33.8	+32 05.5	+31.54  	    2.0	 1	 67.8	  2.9	a  	        	    2842
20 03 14.7	+31 29.4	+31.55  	    2.8	 2	 68.7	  0.2	b  	        	    2843
20 23 18.8	+31 52.5	+31.56  	    2.0	 2	 71.4	 -3.1	b  	        	    2844
20 25 26.2	+31 16.2	+31.57  	    2.4	11	 71.2	 -3.8	ae 	        	    2845
20 37 37.4	+32 04.2	+31.58  	    5.2	 2	 73.3	 -5.4	b  	        	    2846
20 41 39.1	+31 13.5	+31.59  	    2.3	12	 73.2	 -6.6	al 	        	    2847
21 23 17.7	+31 38.6	+31.60  	    3.4	 1	 79.4	-13.1	a  	        	    2848
21 37 54.0	+31 52.7	+31.61  	    3.1	 2	 81.8	-15.1	b  	        	    2849
21 41 14.6	+31 59.5	+31.62  	    2.5	 2	 82.4	-15.5	b  	        	    2850
22 03 16.5	+31 47.2	+31.63  	    3.5	 1	 86.0	-18.8	a  	        	    2851
22 45 27.9	+31 52.7	+31.64  	    3.2	 1	 93.9	-23.8	a  	        	    2852
22 59 32.5	+31 42.5	+31.65  	    2.2	 1	 96.7	-25.4	a  	        	    2853
23 34 17.7	+31 36.2	+31.66  	    2.0	 2	104.3	-28.5	b  	        	    2854
23 58 15.6	+31 29.6	+31.67  	    2.6	 1	109.8	-30.0	a  	        	    2855
00 15 06.4	+32 19.4	+32.01  	    5.7	 2	114.1	-29.9	b  	        	    2856
00 16 14.0	+32 34.1	+32.02  	    3.2	 3	114.4	-29.7	c  	        	    2857
00 40 55.2	+33 09.3	+32.03  	   12.1	 2	120.4	-29.7	b  	3C19    	    2858
00 41 47.4	+32 18.0	+32.04  	    3.7	 3	120.6	-30.5	c  	        	    2859
01 07 28.2	+32 24.4	+32.05  	   10.0	 1	126.9	-30.3	a  	3C31    	    2860
01 26 44.9	+33 11.7	+32.06  	   10.6	 1	131.4	-29.1	a  	3C41    	    2861
01 28 00.7	+32 44.0	+32.07  	    4.9	 2	131.8	-29.5	b  	        	    2862
01 37 41.4	+33 08.7	+32.08  	   51.0	 1	134.0	-28.7	a  	3C48*   	    2863
01 42 14.2	+33 13.3	+32.09  	    2.4	 2	135.0	-28.5	b  	*       	    2864
02 06 57.6	+33 00.3	+32.10  	    2.5	13	140.7	-27.2	a* 	        	    2865
02 30 15.2	+32 19.0	+32.11  	    2.0	 2	146.1	-26.1	b  	        	    2866
02 38 10.4	+32 36.9	+32.12  	    2.1	 2	147.6	-25.1	b  	        	    2867
02 42 08.7	+32 27.1	+32.13  	    2.4	 2	148.5	-24.9	b  	        	    2868
03 36 31.1	+32 11.5	+32.14  	    2.2	23	159.1	-18.9	b* 	        	    2869
04 00 20.2	+32 30.5	+32.15  	    2.3	33	162.9	-15.3	c* 	        	    2870
04 59 11.8	+32 29.1	+32.16  	    2.8	 1	171.4	 -6.2	a  	        	    2871
05 19 14.4	+32 59.5	+32.17  	    3.8	 1	173.5	 -2.5	a  	        	    2872
05 26 43.5	+32 50.1	+32.18  	   14.1	 1	174.5	 -1.3	a  	3C141   	    2873
05 48 23.4	+32 33.1	+32.19  	    2.8	 1	177.2	  2.4	a  	        	    2874
06 16 58.1	+32 07.4	+32.20  	    2.8	 1	180.5	  7.4	a  	        	    2875
06 24 57.0	+32 03.7	+32.21  	    2.8	 2	181.4	  8.9	b  	        	    2876
06 47 55.2	+32 35.7	+32.22  	    2.0	 1	183.0	 13.5	a  	        	    2877
07 01 35.3	+32 29.0	+32.23  	    2.0	23	184.3	 16.1	b* 	        	    2878
08 13 00.3	+32 42.2	+32.24  	    5.1	 1	189.2	 30.5	a  	        	    2879
08 32 00.3	+32 23.3	+32.25  	    2.4	21	190.7	 34.3	be*	        	    2880
08 41 12.7	+32 22.7	+32.26  	    2.0	 1	191.2	 36.2	a  	        	    2881
09 07 51.8	+31 48.6	+32.27  	    3.5	 1	193.2	 41.6	a  	        	    2882
09 25 33.5	+31 59.8	+32.28  	    2.9	 1	193.8	 45.4	a  	        	    2883
09 26 13.1	+32 45.6	+32.29  	    2.6	23	192.7	 45.6	b* 	        	    2884
09 32 35.1	+32 31.6	+32.30  	    2.9	 1	193.3	 46.9	a  	        	    2885
09 41 07.8	+32 15.2	+32.31  	    2.4	23	193.9	 48.7	b* 	        	    2886
09 57 53.6	+32 01.2	+32.32  	    4.0	 2	194.8	 52.2	b  	*       	    2887
09 58 21.6	+32 20.5	+32.33  	    4.0	 2	194.3	 52.3	b  	*       	    2888
10 04 33.5	+31 51.4	+32.34  	    6.4	 1	195.2	 53.6	a  	        	    2889
10 19 20.2	+32 41.0	+32.35  	    2.4	 2	194.0	 56.8	b  	        	    2890
10 38 51.0	+32 00.9	+32.36  	    3.5	 2	195.2	 60.9	b  	        	    2891
11 28 07.6	+32 20.8	+32.37  	    3.5	 1	191.8	 71.2	a  	        	    2892
11 30 33.6	+32 20.2	+32.38  	    2.0	 1	191.5	 71.7	a  	        	    2893
12 18 32.1	+31 43.4	+32.39  	    2.1	 2	178.3	 81.5	b  	        	    2894
12 39 09.8	+32 29.7	+32.40  	    2.9	 1	148.6	 84.0	a  	        	    2895
12 47 21.4	+32 06.6	+32.41  	    2.5	 1	132.8	 84.9	a  	        	    2896
13 11 49.6	+32 25.9	+32.42  	    3.9	 1	 84.3	 83.1	a  	        	    2897
13 22 47.8	+32 14.9	+32.43  	    4.2	 1	 71.8	 81.5	a  	        	    2898
13 26 55.1	+31 52.4	+32.44  	    5.8	 1	 66.6	 80.9	a  	        	    2899
13 43 04.3	+31 44.9	+32.45  	    2.7	 2	 58.4	 77.9	b  	        	    2900
13 56 45.7	+32 19.5	+32.46  	    4.3	 1	 57.0	 74.9	a  	        	    2901
15 06 07.9	+32 07.5	+32.47  	    2.3	 1	 50.9	 60.4	a  	        	    2902
15 12 14.9	+32 02.3	+32.48  	    2.9	 2	 50.7	 59.1	b  	        	    2903
15 44 49.3	+32 09.1	+32.49  	    2.0	 1	 51.3	 52.2	a  	        	    2904
16 04 13.6	+32 22.3	+32.50  	    2.9	13	 52.2	 48.2	a* 	        	    2905
16 17 43.6	+32 21.3	+32.51  	    9.5	 1	 52.6	 45.3	a  	3C332   	    2906
16 59 40.8	+32 31.8	+32.52  	    3.3	11	 54.8	 36.6	a* 	        	    2907
17 31 15.0	+32 37.5	+32.53  	    2.7	 1	 56.7	 30.2	a  	        	    2908
18 08 39.5	+32 31.7	+32.54  	    2.5	 1	 59.1	 22.6	a  	        	    2909
18 35 04.6	+32 41.1	+32.55  	   15.2	 2	 61.3	 17.4	b  	3C382   	    2910
18 37 47.6	+32 35.3	+32.56  	    3.5	 1	 61.4	 16.9	a  	        	    2911
18 39 27.2	+32 34.2	+32.57  	    2.4	 3	 61.5	 16.5	c  	        	    2912
18 58 55.6	+32 54.1	+32.58  	    2.5	13	 63.5	 12.9	a* 	        	    2913
19 12 12.1	+32 58.3	+32.59  	    2.2	23	 64.8	 10.4	b* 	        	    2914
19 34 39.9	+32 24.2	+32.60  	    3.3	 1	 66.4	  5.9	a  	        	    2915
19 52 16.1	+32 56.4	+32.61  	    3.2	23	 68.7	  3.0	b* 	        	    2916
21 11 49.7	+33 03.6	+32.62  	    2.0	 1	 78.7	-10.4	a  	        	    2917
21 30 58.6	+32 33.2	+32.63  	    2.1	 2	 81.2	-13.6	b  	        	    2918
21 32 40.5	+32 44.4	+32.64  	    2.6	 1	 81.6	-13.7	a  	        	    2919
21 38 21.2	+33 07.7	+32.65  	    2.3	 1	 82.8	-14.3	a  	        	    2920
21 50 36.8	+33 03.2	+32.66  	    2.4	 2	 84.7	-16.1	b  	        	    2921
22 29 09.8	+32 47.5	+32.67  	    2.0	 1	 91.3	-21.2	a  	        	    2922
23 12 15.7	+33 01.6	+32.68  	    2.5	 1	100.0	-25.4	a  	        	    2923
23 52 22.0	+33 00.9	+32.69  	    4.3	 1	108.9	-28.2	a  	        	    2924
23 54 12.1	+32 55.1	+32.70  	    7.4	 1	109.3	-28.4	a  	        	    2925
00 10 26.9	+33 29.3	+33.01  	    2.8	 1	113.2	-28.6	a  	        	    2926
00 38 39.1	+34 02.5	+33.02  	    2.2	 2	119.9	-28.8	b  	        	    2927
01 44 12.2	+34 10.4	+33.03  	    4.6	13	135.2	-27.4	ae 	        	    2928
02 00 46.6	+33 39.1	+33.04  	    3.0	 2	139.1	-27.0	b  	        	    2929
